Tweet ID,Screen Name,Number of Followers,Location,Tweet
1453783751897620480,manqobaneyoking,79,,"b""@_Itumeleng_K @AZANIA_magwala I want Audi R8, so by default I'm taking Audi SUV"""
1453776025230319616,rheteus,313,,b'[Assetto Corsa Competizione]\n\nSkins of Audi Sport R8 LMS GT3 factory teams from 2021 Indianapolis 8 Hours are now a\xe2\x80\xa6 https://t.co/LMJ5WprsvA'
1453766382986870793,omni_twascent,177,,b'The ahantan in me believes we can buy audi r8 with this nss money\xf0\x9f\x98\x9e'
1453763324441763840,mm_shipman,241,"Greenville, SC","b'@WOLF_Financial 2022 Audi R8, Manual or nothing'"
1453758992656834565,Shadow_Blegh,313,Pipp,b'@Heart5ound I have 3 dream cars Nissan GTR Audi R8 and Lamborghini centenario'
1453741547795668992,SackyShivute,79,,b'@ChilliKong Only Audi we recognize is an R8'
1453734211018362887,MG3123,609,"Houston, TX",b'Almost wrecked into an Audi R8 last night and it would\xe2\x80\x99ve been 1000% his fault\xf0\x9f\x98\xad missed the bag again'
1453716953147723780,Mark29859375,1,,b'@AC_assettocorsa Need the Audi R8 LMS GT3 Evo 2 next!'
1453714475207512066,PrincessBoshie1,355,Joburg ,"b""@MichaelBucwa I'm  obssessed with Audi Sport  Cars.. this one has my heart\xe2\x9d\xa4\xf0\x9f\x98\x8d R8 V10 Decennium\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/DCQCT6W5z6"""
1453688770633637902,JonahLupton,547791,Boston | Cape Cod | Florida,b'@eretheum @WOLF_Financial Of course they are similar with Audi owns Lamborghini but the Huracan is 10x cooler than\xe2\x80\xa6 https://t.co/uow5wNsasp'
1453688763637542912,max_memo2000,289,New Zealand,"b""I've just posted a new blog: Video: WAS THE R8 RWS THE BEST SOUNDING R8 EVER? AUDI R8 V10 RWS 1/999 2018-19 LIMITED\xe2\x80\xa6 https://t.co/moruP5rxEZ"""
1453680423872208897,CONE_11_King,1434,Bosnia and Herzegovina,b'https://t.co/OumRDh2ULU\nNeed for Speed Heat - 2300HP AUDI R8 V10 Customization | Real Engine &amp; Sound\n\n\xe2\x80\x8b\xe2\x97\x8f Subscribe\xe2\x80\xa6 https://t.co/WcXXQjPOdp'
1453651815799705605,King_Wave_,987,HOUSTOLANTAVEGAS,"b""@LeeJohnss_ Yeah hanti some Audi's use Lambo engines, like the R8 has a Huracan engine"""
1453644683071004673,lvjylyrics,19,,b'Custom licence plate on our Audi R8'
1453625511415058432,Sig95084988,26,,"b""@_Itumeleng_K The GLE just looks \xf0\x9f\x98\xac, the X6 is perfect in pics but too big in real life so you'd probably never acce\xe2\x80\xa6 https://t.co/XJgbMR3FPM"""
